,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
11,-180.0,155,55.555555555555564,155.0,0,True,5,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,2,172.72,175.26,145,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,0,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.079999999999983,-5.0800000000000125,-2,-2.27,0.8999999999999999,-0.9,0,140.0,500.0,1600.0,400.0,250.0,700.0
23,140.0,-160,140.0,62.5,0,False,3,0,1,0,3.4,0.38,0.0,0.6,1.0,3,1,14,0,0,0,3,1,0,0,4,0,180.34,185.42,145,0,1,0,6.79,0.53,1.0,7.17,0.57,1,1,6,0,0,0,0,2,0,0,2,2,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.5399999999999916,5.0800000000000125,6,-3.39,-1.0,-6.57,2,330.0,165.0,1100.0,1100.0,400.0,330.0
46,-125.0,105,80.0,105.0,1,False,5,0,6,0,3.76,0.45,0.3,0.33,0.33,6,1,17,0,0,2,2,2,0,0,6,0,182.88,187.96,145,0,2,0,4.11,0.44,0.1,0.4,0.44,4,9,64,0,1,1,6,8,0,0,16,0,180.34,190.5,145,35,33,0,4,2,-10,-8,-47,0,-6,0,2.5399999999999916,-2.5399999999999916,-2,-0.3500000000000005,0.1999999999999999,-0.07,0,250.0,400.0,1400.0,2500.0,250.0,200.0
56,-150.0,130,66.66666666666666,130.0,1,False,3,0,1,0,1.6,0.5,2.7,0.89,0.16,1,0,3,0,0,0,1,0,0,0,1,0,172.72,177.8,145,0,1,0,5.73,0.53,0.4,2.76,0.53,1,2,8,0,0,0,1,0,0,0,1,0,177.8,187.96,145,32,30,0,0,0,0,-2,-5,0,0,0,-5.0800000000000125,-10.159999999999997,-2,-4.130000000000001,2.3000000000000003,-1.87,2,120.0,275.0,1100.0,450.0,550.0,1100.0
64,100.0,-120,100.0,83.33333333,0,False,3,0,2,0,4.66,0.5,0.4,0.0,0.0,2,0,6,0,0,0,1,1,0,0,2,0,180.34,185.42,145,0,1,0,4.0,0.42,0.0,0.67,0.66,1,1,6,0,0,0,1,0,0,0,1,0,177.8,177.8,145,27,30,0,1,1,1,-1,0,0,1,0,2.54,7.62,3,0.66,0.4,-0.67,2,250.0,240.0,900.0,600.0,350.0,350.0
86,135.0,-155,135.0,64.51612903,1,False,3,0,1,0,6.69,0.62,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,1,175.26,177.8,145,0,1,0,5.18,0.54,0.0,2.75,0.8,1,0,3,0,0,0,1,0,0,0,1,0,175.26,180.34,145,28,29,0,0,0,0,0,0,0,0,0,0.0,-2.54,1,1.51,0.0,-2.75,2,240.0,250.0,1000.0,850.0,650.0,225.0
94,130.0,-155,130.0,64.51612903,0,False,3,0,2,0,2.96,0.66,4.0,3.11,0.7,2,2,7,0,0,0,1,0,1,0,2,0,170.18,175.26,145,0,1,0,3.46,0.38,1.1,2.67,0.33,6,8,60,0,0,2,8,3,2,0,15,0,177.8,180.34,145,37,31,0,1,-4,-13,-6,-53,0,-3,-1,-7.62,-5.08,-6,-0.5,2.9,0.44,2,275.0,250.0,600.0,240.0,800.0,600.0
107,-150.0,130,66.66666667,130.0,1,False,3,1,0,0,7.08,0.64,1.7,1.66,0.34,4,1,14,0,0,0,1,2,1,0,4,0,177.8,177.8,145,0,1,0,4.35,0.39,1.2,0.15,0.5,2,4,21,0,0,0,2,2,2,0,6,1,172.72,180.34,155,33,32,1,-1,2,-2,-3,-7,0,0,-1,5.08,-2.54,-1,2.73,0.5,1.51,2,150.0,350.0,600.0,850.0,350.0,500.0
120,185.0,-235,185.0,42.55319149,1,False,3,0,2,0,2.77,0.48,3.4,3.35,0.55,2,0,4,0,0,0,1,1,0,0,2,0,170.18,175.26,145,0,4,0,2.3,0.44,0.9,0.29,0.11,4,0,10,0,0,0,3,0,1,0,4,1,177.8,177.8,145,36,24,0,-2,-2,-2,0,-6,0,1,-1,-7.62,-2.54,-12,0.47,2.5,3.06,2,500.0,225.0,375.0,925.0,1100.0,165.0
135,-177.0,140,56.49717514,140.0,0,False,3,3,0,0,3.58,0.42,0.6,0.0,0.0,1,3,7,0,0,0,0,1,0,0,1,0,170.18,172.72,145,1,0,0,3.11,0.37,1.0,1.76,0.32,1,5,25,0,0,1,1,0,2,0,4,2,175.26,175.26,145,34,31,2,0,0,-3,-2,-18,0,1,-2,-5.08,-2.54,-3,0.47,-0.4,-1.76,2,275.0,625.0,220.0,375.0,250.0,1600.0
137,130.0,-162,130.0,61.72839506,0,False,5,0,1,0,3.82,0.46,0.4,1.38,0.25,6,2,26,0,0,2,2,2,2,0,8,0,170.18,180.34,145,1,0,0,4.07,0.43,0.7,0.82,0.47,3,5,29,1,0,0,0,4,2,0,6,0,170.18,182.88,145,34,29,-1,1,3,2,-3,-3,-1,-2,0,0.0,-2.54,-5,-0.25,-0.3,0.56,0,260.0,225.0,775.0,1000.0,300.0,275.0
140,120.0,-150,120.0,66.66666667,1,False,3,0,2,0,3.31,0.41,0.0,1.0,0.57,2,2,12,0,0,0,2,0,0,0,2,0,182.88,187.96,145,0,2,0,5.1,0.47,0.9,1.29,0.54,2,4,18,0,0,1,0,2,1,0,4,1,185.42,187.96,145,31,28,0,0,0,-2,-2,-6,0,-2,-1,-2.54,0.0,-3,-1.79,-0.9,-0.29,2,300.0,180.0,550.0,1000.0,600.0,250.0
157,-240.0,188,41.66666667,188.0,0,False,3,0,5,0,4.72,0.46,0.0,0.0,0.0,5,1,16,0,0,3,1,1,0,0,5,0,172.72,185.42,145,0,4,0,4.32,0.44,0.4,4.0,0.47,4,0,12,0,0,1,3,0,0,0,4,0,170.18,182.88,145,27,29,0,1,1,1,1,4,0,1,0,2.54,2.54,2,0.4,-0.4,-4.0,0,-115.0,325.0,550.0,1800.0,650.0,650.0
160,-108.0,-114,92.59259259,87.71929825,1,False,3,0,1,0,4.43,0.37,0.6,1.87,0.3,1,4,17,0,0,1,0,1,0,0,2,0,177.8,177.8,145,0,1,0,3.87,0.46,2.2,0.96,0.18,2,1,10,0,0,0,1,1,1,0,3,1,185.42,187.96,145,21,31,0,0,-1,-1,3,7,0,0,-1,-7.62,-10.16,10,0.56,-1.6,0.91,2,450.0,200.0,225.0,1400.0,800.0,325.0
171,-230.0,180,43.47826087,180.0,1,False,3,1,0,0,3.27,0.52,1.8,1.18,0.4,0,1,3,0,0,0,0,0,0,0,0,2,177.8,190.5,145,1,0,0,1.4,0.43,1.1,3.61,0.4,3,3,20,0,0,1,1,1,3,0,6,1,177.8,182.88,145,32,27,0,0,-3,-6,-2,-17,0,-1,-3,0.0,7.62,-5,1.87,0.7,-2.43,2,300.0,400.0,155.0,1100.0,650.0,450.0
173,-200.0,160,50.0,160.0,0,False,3,2,0,0,2.51,0.5,1.2,2.33,0.29,3,2,15,0,0,0,3,0,0,0,3,2,177.8,182.88,145,1,0,0,5.27,0.43,0.6,0.0,0.0,2,1,8,0,0,0,1,1,0,0,2,0,187.96,198.12,145,28,24,1,0,1,1,1,7,0,-1,0,-10.16,-15.24,-4,-2.76,0.6,2.33,2,125.0,250.0,850.0,600.0,450.0,1200.0
179,125.0,-145,125.0,68.96551724,0,False,3,0,1,0,6.37,0.53,0.0,0.5,0.28,1,2,9,0,0,0,1,0,0,0,1,2,182.88,185.42,145,1,0,0,3.1,0.41,0.7,3.08,0.58,3,2,15,0,0,1,2,1,1,0,5,0,175.26,182.88,145,25,31,-1,1,-2,-4,0,-6,0,-1,-1,7.62,2.54,6,3.27,-0.7,-2.58,2,225.0,175.0,450.0,850.0,700.0,500.0
191,-147.0,127,68.02721088,127.0,1,False,3,0,1,0,4.16,0.44,0.1,0.42,0.44,4,9,61,0,1,1,6,7,0,0,15,0,180.34,190.5,145,1,0,0,7.29,0.49,0.1,0.27,1.0,3,2,22,0,0,1,2,2,1,0,6,0,180.34,190.5,145,30,35,-1,1,1,9,7,39,0,5,-1,0.0,0.0,5,-3.13,0.0,0.15,0,200.0,250.0,750.0,1600.0,275.0,400.0
193,105.0,-125,105.0,80.0,0,False,3,1,0,0,2.14,0.45,0.4,3.78,0.26,1,1,5,0,0,0,0,1,0,0,1,0,170.18,182.88,145,1,0,2,4.67,0.44,0.3,1.12,0.4,1,5,25,0,0,0,1,1,1,0,3,0,175.26,180.34,155,29,34,0,0,0,-2,-4,-20,0,0,-1,-5.08,2.54,5,-2.53,0.1,2.66,2,250.0,200.0,750.0,500.0,375.0,600.0
197,120.0,-140,120.0,71.42857143,1,False,3,0,2,0,5.09,0.52,0.3,2.33,0.63,2,0,6,0,0,0,2,0,0,0,2,0,172.72,182.88,155,3,0,0,3.96,0.4,0.0,0.16,0.16,3,3,16,0,0,1,2,0,0,0,3,0,170.18,185.42,155,32,26,-3,2,-1,-1,-3,-10,0,0,0,2.54,-2.54,-6,1.13,0.3,2.17,2,200.0,170.0,1200.0,1600.0,450.0,350.0
205,-250.0,210,40.0,210.0,1,False,3,1,0,0,3.22,0.53,0.9,0.29,0.5,2,1,8,0,0,2,0,0,0,0,2,0,180.34,180.34,145,0,1,0,3.32,0.54,0.0,3.69,0.57,1,0,1,0,0,0,0,1,0,0,1,1,170.18,182.88,145,26,29,1,-1,1,1,1,7,0,-1,0,10.16,-2.54,3,-0.1,0.9,-3.4,2,250.0,350.0,1000.0,1000.0,115.0,900.0
209,-220.0,180,45.45454545,180.0,0,False,3,0,2,0,4.63,0.5,0.5,1.08,0.51,6,10,72,0,0,1,9,5,2,0,17,0,172.72,177.8,145,0,5,0,3.55,0.44,0.0,0.38,0.33,5,1,16,0,0,2,2,1,0,0,5,0,182.88,187.96,145,32,37,0,-3,1,12,9,56,0,4,2,-10.16,-10.16,5,1.08,0.5,0.7,0,135.0,280.0,1800.0,750.0,300.0,550.0
217,-127.0,107,78.74015748,107.0,1,False,3,1,0,0,2.15,0.51,0.8,2.0,0.23,1,2,9,0,0,1,0,0,0,0,1,0,172.72,175.26,135,1,0,0,6.61,0.52,0.2,0.71,0.3,2,4,14,0,0,0,1,2,1,0,4,1,167.64,170.18,135,35,27,0,0,-1,-3,-2,-5,0,-2,-1,5.08,5.08,-8,-4.46,0.6,1.29,2,210.0,360.0,575.0,375.0,350.0,750.0
226,-240.0,200,41.66666667,200.0,0,False,3,0,1,0,2.77,0.47,0.5,0.5,0.14,1,0,3,0,0,0,1,0,0,0,1,0,177.8,172.72,170,0,0,0,1.73,0.57,1.0,1.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,172.72,177.8,145,30,35,0,1,1,1,0,3,0,0,0,5.08,-5.08,5,1.04,-0.5,-0.5,2,115.0,375.0,325.0,800.0,600.0,1100.0
242,135.0,-155,135.0,64.51612903,0,False,3,0,5,0,5.43,0.48,0.5,0.0,0.0,5,0,11,0,0,0,3,2,0,0,5,0,175.26,180.34,145,0,7,0,2.96,0.4,0.4,1.44,0.5,7,0,21,0,0,1,4,0,2,0,7,1,172.72,177.8,145,27,27,0,-2,-2,-2,0,-10,0,2,-2,2.54,2.54,0,2.47,0.1,-1.44,0,225.0,175.0,750.0,1400.0,650.0,250.0
251,-145.0,125,68.96551724,125.0,0,False,3,1,0,0,2.52,0.46,1.9,1.45,0.35,1,3,12,0,0,0,0,0,2,0,2,1,177.8,185.42,145,0,1,0,4.39,0.51,0.6,0.0,0.0,1,0,3,0,0,0,0,1,0,0,1,0,180.34,185.42,145,30,31,1,-1,0,1,3,9,0,-1,2,-2.54,0.0,1,-1.87,1.3,1.45,2,150.0,275.0,1200.0,400.0,425.0,700.0
262,170.0,-200,170.0,50.0,1,False,3,1,0,0,3.66,0.37,0.0,0.68,1.0,3,1,11,0,0,0,2,1,0,0,3,0,180.34,185.42,145,1,0,0,5.22,0.4,0.0,0.8,0.23,2,2,9,0,0,0,1,1,0,0,2,0,172.72,182.88,145,27,35,0,0,1,1,-1,2,0,0,0,7.62,2.54,8,-1.56,0.0,-0.12,2,275.0,140.0,1400.0,1000.0,650.0,285.0
275,-190.0,165,52.63157895,165.0,0,False,3,0,3,0,4.39,0.45,1.5,2.98,0.42,3,1,15,0,0,0,2,0,2,0,4,1,167.64,167.64,145,1,0,0,3.95,0.46,0.5,1.68,0.27,6,2,25,0,0,2,2,1,2,0,7,0,170.18,180.34,145,29,34,-1,3,-3,-3,-1,-10,0,-1,0,-2.54,-12.7,5,0.44,1.0,1.3,0,145.0,190.0,800.0,700.0,500.0,900.0
279,-300.0,250,33.33333333,250.0,0,False,3,0,0,0,5.1,0.36,0.0,1.03,0.5,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,145,1,0,1,4.79,0.45,0.7,0.0,0.0,1,2,11,0,0,0,0,1,0,0,1,2,175.26,175.26,145,25,32,-1,0,-1,-1,-2,-11,0,-1,0,-2.54,5.08,7,0.31,-0.7,1.03,2,225.0,550.0,375.0,1200.0,185.0,500.0
303,-150.0,130,66.0,130.0,0,False,3,0,0,0,1.35,0.36,1.0,0.97,0.06,0,0,1,0,0,0,0,0,0,0,0,0,180.34,185.42,155,0,3,0,4.1,0.5,0.8,0.57,0.78,4,10,59,0,0,3,5,1,3,0,12,1,177.8,185.42,145,32,33,0,-3,-4,-12,-10,-58,0,-1,-3,2.54,0.0,1,-2.75,0.2,0.4,2,110.0,400.0,500.0,325.0,750.0,850.0
310,-190.0,150,52.63157895,150.0,1,False,3,0,2,0,3.24,0.7,3.6,3.0,0.62,2,2,0,0,0,0,0,0,0,0,2,0,170.18,175.26,145,1,0,0,3.11,0.37,1.0,1.76,0.32,1,5,2,0,0,0,0,0,0,0,4,2,175.26,175.26,145,34,30,-1,2,1,-2,-3,-2,0,0,0,-5.08,0.0,-4,0.13,2.6,1.24,2,325.0,400.0,135.0,350.0,700.0,1000.0
314,110.0,-139,110.0,71.94244604,0,False,3,1,0,0,2.93,0.39,0.0,2.5,1.0,1,1,0,0,0,0,0,0,0,0,1,0,172.72,170.18,145,0,2,0,5.54,0.56,0.0,2.81,0.39,2,3,2,0,0,0,0,0,0,0,5,0,175.26,172.72,145,32,33,1,-2,-1,-4,-2,-2,0,0,0,-2.54,-2.54,1,-2.61,0.0,-0.31,2,180.0,300.0,700.0,1200.0,1000.0,200.0
316,-112.0,-112,89.28571429,89.28571429,1,False,3,0,2,0,5.07,0.47,0.9,1.32,0.54,2,4,5,0,0,0,0,0,0,0,4,1,185.42,187.96,145,1,0,0,7.02,0.5,0.0,0.0,0.0,1,2,1,0,0,0,0,0,0,0,1,0,175.26,182.88,145,32,31,-1,2,1,3,2,4,0,0,0,10.16,5.08,-1,-1.95,0.9,1.32,2,275.0,300.0,1200.0,400.0,225.0,475.0
323,-253.0,210,39.5256917,210.0,0,False,3,0,1,0,4.45,0.4,0.8,1.2,0.25,2,4,19,0,0,0,1,2,3,0,6,2,167.64,167.64,145,0,2,0,3.09,0.42,0.3,7.07,0.53,4,2,21,0,0,2,2,1,1,0,6,0,167.64,175.26,135,28,34,0,-1,-2,0,2,-2,0,1,2,0.0,-7.62,6,1.36,0.5,-5.87,2,-125.0,500.0,600.0,500.0,750.0,700.0
337,175.0,-230,175.0,43.47826087,0,False,3,1,0,0,2.68,0.51,1.5,2.25,0.42,3,1,12,0,0,0,3,0,0,0,3,2,177.8,182.88,145,0,1,0,3.33,0.42,0.0,0.69,0.5,1,2,9,0,0,0,1,0,0,0,1,0,182.88,187.96,145,28,24,1,-1,2,2,-1,3,0,0,0,-5.08,-5.08,-4,-0.65,1.5,1.56,2,350.0,125.0,1400.0,450.0,600.0,425.0
353,-305.0,240,32.78688525,240.0,0,False,3,0,1,0,3.96,0.38,0.0,0.65,0.5,2,3,19,0,0,0,3,1,0,0,4,0,170.18,172.72,145,0,1,1,2.59,0.42,1.6,0.78,0.5,1,0,4,0,0,0,0,1,0,0,1,0,175.26,185.42,145,29,35,0,0,1,3,3,15,0,0,0,-5.08,-12.7,6,1.37,-1.6,-0.13,2,200.0,425.0,1000.0,1400.0,110.0,850.0
362,-162.0,138,61.72839506,138.0,0,False,5,0,2,0,5.01,0.41,0.0,0.47,0.37,2,2,21,0,0,0,2,4,0,0,6,0,180.34,182.88,145,2,0,0,6.47,0.44,0.4,0.22,0.83,13,6,70,8,0,1,5,9,2,0,17,0,180.34,175.26,145,29,32,-2,2,-11,-11,-4,-49,-8,-5,-2,0.0,7.62,3,-1.46,-0.4,0.25,0,125.0,300.0,1400.0,2000.0,450.0,300.0
371,180.0,-230,180.0,43.47826087,1,False,3,1,0,0,0.8,0.19,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,0,177.8,177.8,145,2,0,0,0.77,0.55,0.0,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,0,175.26,182.88,145,25,26,-1,0,0,0,-1,-1,0,0,0,2.54,-5.08,1,0.03,0.0,1.0,2,450.0,250.0,750.0,325.0,650.0,225.0
388,132.0,-152,132.0,65.78947368,0,False,3,1,0,0,3.41,0.49,1.8,1.55,0.29,2,5,1,0,0,0,0,0,0,0,4,0,170.18,175.26,145,0,2,0,4.64,0.5,0.5,1.09,0.51,6,10,2,0,0,0,0,0,0,0,17,0,172.72,177.8,145,37,35,1,-2,-4,-13,-5,-1,0,0,0,-2.54,-2.54,-2,-1.23,1.3,0.46,2,250.0,350.0,1200.0,225.0,600.0,350.0
390,165.0,-190,165.0,52.63157895,0,False,3,1,0,0,7.03,0.64,1.8,1.28,0.31,4,1,0,0,0,0,0,0,0,0,4,0,177.8,177.8,145,0,3,0,4.4,0.45,1.5,3.0,0.42,3,1,2,0,0,0,0,0,0,0,4,1,167.64,167.64,145,34,32,1,-3,1,0,0,-2,0,0,0,10.16,10.16,-2,2.63,0.3,-1.72,2,225.0,155.0,1000.0,575.0,675.0,400.0
392,-310.0,255,32.25806452,255.0,0,False,3,2,0,0,4.18,0.61,0.0,1.39,0.22,1,2,1,0,0,0,0,0,0,0,1,1,177.8,185.42,145,0,1,0,4.43,0.45,2.2,0.32,0.07,2,1,2,0,0,0,0,0,0,0,3,1,185.42,187.96,145,21,34,2,-1,-1,-2,1,-1,0,0,0,-7.62,-2.54,13,-0.25,-2.2,1.07,2,360.0,550.0,100.0,1600.0,475.0,500.0
